title,tag,artist,views,lyrics,happiness_from_lyrics,source,domain,chart,region,date,position,url,scraped_at,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,v_audio_raw,a_audio_raw,v_audio_norm,a_audio_norm,lyrics_language,h_lyrics_raw,h_lyrics_01,h_lyrics_norm,h_track,catharsis_score
Its Getting Worse,pop,Gavin Haley,499.0,"Didn't think we'd go this way
Kiss me again
Girl, just felt you right away
Switch gears
Drive too fast, it's like a race car
In the nighttime, mhhh
Fall too much then try to pull the brakes
But it still slides, mhhh

Can somebody help me
It's getting worse, it's getting worse
I'm in waist deep
It's getting worse, it's getting worse
When I look in your eyes, get butterflies
Can't stop, can't stop
Can somebody help me
It's getting worse, it's getting worse

Is it love, it is
It's more than you thought
Never try to escape what we can't control
Drive too fast, it's like a race car
In the nighttime, ohhh
Fall too soon
We try to pull the brakes
But it still slides, mhhh
Can somebody help me
It's getting worse, it's getting worse
I'm in waist deep
It's getting worse, it's getting worse
When I look in your eyes, get butterflies
Can't stop, can't stop
Can somebody help me
It's getting worse, it's getting worse
It's getting worse
It's getting worse, it's getting worse",0.21982318349182606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptorz,rap,Murkemz,436.0,"[Intro]
Y'all niggas want smoke with the big bad wolf come ’n try your luck
It's Murkemz
Ha, ay
Yeah

[Verse 1]
Y'all niggas want smoke with the big bad wolf come ’n try your luck
If you clip the wrong cord blow this (hoe?) to smithereens, we just wired up
I been riding through the city with a couple hoes on me I'm a fire truck
Get your whole hood puttin' lighters up
Never knew your mum would have cried this much
Keep it quiet son, I need silence, I need focus
(Peel off then load this?)
Your bitch buzz like she a locust
Take a lesson why don't you learn you been out with the dopest
Box a nigga like he (stole fish?)
Roll him up, and them I smoke him, it was a dead Pope ring
Ding dong like the hostess
Niggas at ya front door we doing the Moses
Kill a thing, off his head with the guillotine
Gave a dose and now she still a fiend
I'ma strike rich off the illest schemes
If he up I am still in lead
I was creeping a lot to the front like a millipede
Got a bag from the Philippines
Kiss your (?).... and say
Mash you a realer scene
Man y'all niggas trap the while backwards
Yappin' like actors
If these liars, were some frat brothers they be Kappa Phi Kappa
I'm back and I’m snappin’
Put an NY patch on my cactus
Need a hoe and a pack of fried catfish
Anybody tryin'a clap or fly savage?
Lookin’ good yo, let the niggas sow
Pass the (bikkie?) like a (?)
Down the mic how to stick a blow
Steppin' with the bird it's a pigeon toe
Pull a heist off, put on different clothes
Millimetre got a different nose
A gorilla even when I spit as slow
'Cause these niggas streaming all these different flows
Tell Joyner Lucas, Tory, Token, Noel ’n Jokerz that I'm comin' for the top spot
I'm a vulture poachin' posers so they know it's over 'cause I'm comin' with it non stop
I put a nigga in the palm box
I put a bullet line front of a nigga this is where the line stops
I got a photo make ya mom pop
And hit your liver like a shot of liquor, lickin' (where the lime drops?)
So come and rap with the raptorz
I kill a nigga with a verse and return him like I'm back on the track to attack on the masses
So get your vest so I can make an example of all my tactical (?), you lapse I'ma spazz
Flack 'cause I'm black with a knack for disaster, stash stacks and I put 'em black backs to the plaster
Get your riches and your rags stashed from the (master?)
And turn a nigga to a red stack for my laughter
Hardy, harty ha this shit is hysterical
These niggas tryin'a mimic my miracles
(?) try to give my shit is imperial
Me 'n Murkemz out be hostin' your burial
Dearly departed we gather here today to piss on this body
That's for talkin' like he living like God he
(?) a rapper with Biggie and Pac-y (good God)",0.23695160495117307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopelessly Devoted to You,pop,BMX Bandits,64.0,"Guess mine is not the first heart broken
My eyes are not the first to cry
I'm not the first to know
There's just no getting over you

I know I'm just a fool who's willing
To sit around and wait for you
But baby, can't you see
There's nothing left for me to do?
I'm hopelessly devoted to you

But now, I'm swimming in the smoke
Of bridges I have burned
So don't apologize
I'm hopelessly devoted to you
Hopelessly devoted to you
Hopelessly devoted to you

My head is saying, ""Fool, forget him""
My heart is saying, ""Don't let go""
Hold on to the end, that's what I intend to do
I'm hopelessly devoted to you
But now, I'm swimming in the smoke
Of bridges I have burned
So don't apologize
I'm hopelessly devoted to you

It's in the blackened bones
Of bridges I have burned
So don't apologize
I'm hopelessly devoted to you
Hopelessly devoted to you
Hopelessly devoted to you",0.12866514222696424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Lining Recordist Mix,pop,Rilo Kiley,114.0,"[Verse 1]
And I'm not going back
Into rags or in the hole
And our bruises are coming
But we will never fold

And I was your silver lining
As the story goes
I was your silver lining
But now I'm gold

[Chorus]
Hooray, hooray
I'm your silver lining
Hooray, hooray
But now I'm gold

[Verse 2]
And I was your silver lining
High up on my toes
Well you were running through fields of hitch-hikers
As the story goes
[Chorus]
Hooray, hooray
I'm your silver lining
Hooray, hooray
But now I'm gold

Hooray, hooray
I'm your silver lining
Hooray, hooray
But now I'm gold

[Verse 3]
And the grass it was a ticking
And the sun was on the rise
I never felt so wicked
As when I willed our love to die

And I was your silver lining
As the story goes
I was your silver lining
But now I'm gold

[Chorus]
Hooray, hooray
I'm your silver lining
Hooray, hooray
But now I'm gold
Hooray, hooray
I'm your silver lining
Hooray, hooray
But now I'm gold

But now I'm gold
But now I'm gold",0.5741459876298904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risen Hope,pop,LIFE Worship NZ,128.0,"[Verse 1]
God, meet me in my darkest hour
Fill my weakness with Your power
Unending hope, You never fade
Constant strength through every day

[Verse 2]
Lord, lead me from my broken ways
Immerse me in Your depths of grace
Lift my eyes beyond today
Flood within, let love exchange

[Pre-Chorus]
Through the shadows of the night
You are calling me to You

[Chorus]
Deep in my bones
Ignite the fire, breathe new hope
Awake my soul...
[Verse 2]
Lord, lead me from my broken ways
Immerse me in Your depths of grace
Lift my eyes beyond today
Flood within, let love exchange

[Pre-Chorus]
Through the shadows of the night
You are calling me to You

[Chorus]
Deep in my bones
Ignite the fire, breathe new hope
Awake my soul, I give my all
I surrender to You alone
My risen hope

[Interlude]

[Bridge]
In the storm, there is grace
Through the valley, hope
You light my way
You lead me home
Through it all, I will praise
I will run to You
For You are good
You make all things new
In the storm, there is grace
Through the valley, hope
You light my way
You lead me home
Through it all, I will praise
I will run to You
For You are good
You make all things new
In the storm, there is grace
Through the valley, hope
You light my way
You lead me home
Through it all, I will praise
I will run to You
For You are good
You make all things new
[Chorus]
Deep in my bones
Ignite the fire, breathe new hope
Awake my soul, I give my all
I surrender to You alone
My risen hope
Deep in my bones
Ignite the fire, breathe new hope
Awake my soul, I give my all
I surrender to You alone
My risen hope

[Instrumental]",0.9406524054938927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another Brick Please,rap,Fred the Godson,2410.0,"[Intro: Fred The Godson]
They say bars is back
I got that
I just need my man on the hook (Jaquae)
Ha, okay (GOOORRRRDOOOO!!)

[Verse 1: Fred The Godson]
Wrist frozen
Go on rap tours 'til we find a garage to put the Rolls in
Tell ya entourage I goes in
Shooters outside ya aunt's garage, you owe him
What you expect?
Every shot'll be silent, you in debt
In debt, the B is silence
And in the B-X, we known for bein' violent
Clap that heat, everybody they gon' squeeze
Like cheap ass seats, everybody he knows bleeds
Ha, we gon' see
New York City, I'm what your flow needs
And knowin' the streets fuck with you
And I never sold my soul, I can sleep comfortable
Give you parents credit, that blow, they keep comin' through
You'll pay 'til ya mother clear, Denise Huxtable
Gordo writin' again
Why I wasn't on the cypher again?
I don't know, I just know not many rappers is nicer than him
I bring that metaphor life to the pen
I'm tryin' to win like Hurricane Matthew doin'
Pills slow, I hurry 'caine, what math you doin'?
If it's 'bout a dollar you can hit me, new feel
In my pocket, Monica Lewinsky, blue bill
[Chorus: Jaquae]
Tell me what the lick read
I'm ridin' in a six speed
Before it get reported
And Trump get us deported
Papi, another brick please
Another brick please (another brick)
Another brick please
Another brick please, a thousand grams

[Verse 2: Fred The Godson]
Early morning stove like six somethin'
Break it down to O's 'cause the strip bubblin'
It's fresh out the brick oven
I can put you on your feet or put you under six of 'em, huh
Regardless I'm the hardest artist ever as far as bars is
Cartridge hit you cartilage
This infra-red light'll turn a dark skin dude to the DeBarges
Who want it with me?
My shooters carry two 4-5's like a quarter to three
Can't tell what I might spit
Like Pippen in Salt Lake City, I carry the mic sick
Gordo

[Chorus: Jaquae]
Tell me what the lick read
I'm ridin' in a six speed
Before it get reported
And Trump get us deported
Papi, another brick please
Another brick please (another brick)
Another brick please
Another brick please, a thousand grams",0.23427846282720566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supa Dupa,rap,Klooz,2312.0,"[KLOOZ「Supa Dupa」歌詞]

One Deal One Shot 年中 命中 Supa Dupa Big Sean Thank You

[Klooz]
Hiphop Game 皆 PaperChase
I'm Business Men KREVA Ape
やる事やってる奴らが制す
そして建てるビル ""ゲイツ""

[Aklo]
俺はOld School ラッパーが凍るほど Cold
New School 成績表ならAll 5
ラップじゃ俺のメダルゴールド
製作スピード ""ボルト""

[Klooz]
Lady 落として打ち取る野茂
オレがKLOOZ『どうも!!』
スタンドでバック打ち込むジョジョ
最後巧く乗らす ""Polo""
[Aklo]
口開けばすぐさまパンチライン
# 世の中出りゃつくだろハッシュタグ
ギャンブラーいらねぇーよ保険 AFLAC
Nasty に動かすMoney ""NASDAQ""

[Hook]
さぁ 皆 Give Me　さぁ 皆 Give Me
Supa Dupa Flow　Supa Dupa Flow

[Aklo]
ILLなフローがトレイドマーク
続ける制作止めどなく
Money Power Respect 知名度 Luck
I Keep It Rocking ""Dre 2pac""

[Klooz]
FakeなRapper 全員死亡
殺しの報酬 Payしろ
I'm So Crazy 精神病
あたたたた ""ケンシロウ""

[Aklo]
完璧に完パケにしたパッケージ
俺をこすなら託せよ来世に
Hotな時間はMy Stage
他のヤツ氷河期 ""ICE AGE""
[Klooz]
スキット トークは要らないチャップリン
曲聞きゃ分かるライムの達人
すんなり耳に入っていく作品
裏に隠すメッセージ ""Banksy""

[Hook]

[Ban (Hooliganz)]
正直に言う 超期待のホープ
再生ボタン エンドレスループ
波乗り音 サーフィン KLOOZ
Check Microphone 奏でるブルース

Decoration このセッション ぶっちぎりでしょ
BAN 出番 顔はジェロ まくるベロ
うなぎ昇りまるで剛力彩芽
俺は既にいる Far Away

ネガよりポジ 決めたら意固地
文字通り Killer Verse かましに来た
場数は踏んだ 諭す 仏陀
俺と勝負？ Good Luck

Rec またブラブラ Rapのグラップラー
2Pacみたいなクラシック瞬く間
電光石火 頭落下 プラズマ
踵落とし クラックラッ
[Hook]",0.4335514307022095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nee Main Kamli Aan Punjabi,misc,Jagmohan Kaur,1815.0,"daal das kah shere lahore andar
daal das kah shere lahore andar
bai khinneh buhe teh kinya baariya neh
naaleh das kah othoh diya itah
vai kinniyah tuttya teh kiniya sarriyah neh
daal das kah shere lahore andar
kuhiya kiniya mitiya teh kinya khariya neh
zara souchkeh deimee javaab menu
oteh kinya vyaiah teh kinya kwariya neh

jawwab dasriya ya
daal dassa meh shere lahore andar
daal dassa meh shere lahore andar
bai lakha buheh teh lakha barriya neh
jineh itah thae targey pher asiq
oiyo tuttiyah teh bakhi sarriya neh
jineh kuya toh pargeh masqhooq pani
jineh kuya toh pargeh masqhooq pani
oiyo mitya teh bakhi khariyah neh
jeriya bendiya naal apne sajna deh
oiyo vyaiah tah bakee kwariya neh
haa jee lokh mecca val jandeh
teh mera ranjah mera mecca
nee mai kamli ya
haaji lokh mecca val jandeh
teh mera ranjah mera mecca
nee mai kamli ya
meh tah mang ranjeh di hoiyah",0.2715171314775944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont Need Much,pop,Emily Parish,7.0,"[Verse 1]

Oh you push me to my limits, then you pin me down
We were lost now we’re in it, and I’m happier now
Think I’ve found paradise between your eyes, and I’m running to you
Running to you

[Chorus]

I’m young and in love, no I don’t need much
Just a hand to hold and somewhere to run
Say the word and I’m yours

[Verse 2]

Trace the shapes of your back, kiss the lines of your laugh
And I know this could end, but until then
Think I’ve found paradise between your eyes, and I’m running to you
Running to you

[Chorus]
I’m young and in love, no I don’t need much
Just a hand to hold and somewhere to run
Say the word and I’m yours

[Bridge]

No I don’t need much
No I don’t need much
No I don’t need much

[Chorus]

I’m young and in love, no I don’t need much
Just a hand to hold and somewhere to run
Say the word and I’m yours
'Cause I’m young and in love, no I don’t need much
Just a hand to hold and somewhere to run
Say the word and I’m yours",0.60210713557899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como Yo Te Hago El Amor,pop,Arcngel,163.0,"[Letra de ""Como Yo Te Hago El Amor""]

[Intro]
Yeao
Oye (Ah)
Baby (Nada cambia)
Hace tiempo que yo no te hablaba
Como te voy hablar ahora (Claro)

[Coro]
Oye, me gusta tu cuerpo sí
Oh right se siente junto a mí
Dime si te gusta como yo te hago el amor
Ella es sata
Le gusta vacilar
Mata, Le encanta farandulear
Se pone loca cuando yo le hago el amor

[Verso 1]
Yeah
Welcome mama
En mi panamera
Se ve diferente el panorama
Lento el procedimiento
Grandes son mis asientos
Si quieres olvidate de la cama
[Puente]
Ahhh
Yeah (Ah-ah, au)
Flow Factory (Ah-ah, au)
Flow Factory
Ahhh
Oye (Ah-ah, au)
Sí
Prrraa!

[Verso 2]
Paso el tiempo y vovimo' y nos vimo’
En el mismo lugar donde nos conocimo'
Si, parece que te flecho cupido
Y Yo nunca eh entendido las cosas del destino
Wow, no mamasita olvidate de eso
Puro bellaqueo contigo bajar el queso
Te voa' refinir con un par de rola
En vez de agua bajarsela con ron y coca-cola!

Ou shit (MotherFucker!)
Compermiso
Vente pa’ guillarte en el porche
En el tercer carril a 100 millas se acelera
Venta pa' aca y vive la vida entera prrra!
[Coro]
Oye, me gusta tu cuerpo sí
Oh right se siente junto a mí
Dime si te gusta como yo te hago el amor
Ella es sata
Le gusta vacilar
Mata, Le encanta farandulear
Se pone loca cuando yo le hago el amor

Todo se fue que perdió [?]
Eso fue lo que nos motivo
A seguir besandonos, acariciandonos
Tranquilo hasta que salga el sol

Y luego en el caminio nos calló un aguacero
No se sientio el avión es de acero
Tú sabes que tu novio se guilla
Te llena la tarjeta de milla
To' salio bien, muy bien aterrizamos
Las maletas que buscas, rapido nos vamos
Chequeamos
Nos damos par de copas möet
Ella me enciende me gusta porque ella es

Sata, le gusta vacilar
Mata, le encanta farandulear
Se pone loca cuando yo le hago el amor
Baby
Me gusta tu cuerpo sí
Oh right se siente junto a mí
Dime si te gusta como yo te hago el amor

Oye, me gusta tu cuerpo sí
Oh right se siente junto ami
Dime si te gusta como yo te hago el amor, ou

[Outro]
You La Diferencia
Arcangel Pa!
Yo se que es
Optimus A.R.C.A
Luian 'El Rabo De Oro'
Flow Factory
Capish
Auua
Prrraa!
Papi
La Factoria del Flow
Sentimiento Elegancia & Maldad
Pronto (Se acerca)
Muy Pronto
Jajaja",0.5679632909595966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kehlani - up at night ft. Justin Bieber Tradução em Português,rb,Genius Brasil Tradues,49.0,"[Verso 1: Kehlani]
Você se pergunta por que eu te amo, nunca existiu pressão
É fácil como eu quero, simplesmente não existe ninguém melhor
Você acha que é calculado, baby, eu não sou tão inteligente, nunca

[Pré-Refrão: Kehlani]
E o que eu poderia dizer? Eu sabia que seria assim
Ou você iria culpar o destino? Eu não podia deixar isso escapar
Agora, no final dos nossos dias, eu vou voltar a pensar em você

[Refrão: Kehlani]
Pensar em você me mantêm acordada à noite
Acordada à noite, acordada à noite
Pensar em você me mantêm acordada à noite
Acordada à noitе, acordada à noite
Pensar em você mе mantêm acordada à noite

[Verso 2: Justin Bieber]
Eu penso em todas as maneiras que você me excita (Me excita)
E a minha cama fica vazia sempre que você vai embora
Mas, baby, eu sou um desastre sem você
Tudo que eu faço é fantasiar sobre você (Você)
Você é a luz da minha vida, você é meu significado
Garota, você tem o que eu quero, o que eu precisava
E mesmo quando o sol não brilhar
Eu vou estar ao seu lado, te abraçando forte (Te abraçando forte)
E quando você sentir que ninguém se importa
Eu vou estar lá pra te lembrar disso
[Refrão: Kehlani]
Você me mantêm acordada à noite
Acordada à noite, acordada à noite
Pensar em você me mantêm acordada à noite
Acordada à noite, acordada à noite
Pensar em você me mantêm acordada à noite

[Pré-Refrão: Kehlani]
E o que eu poderia dizer? Eu sabia que seria assim
Ou você iria culpar o destino? Eu não podia deixar isso escapar
Agora, no final dos nossos dias, eu vou voltar a pensar em você

[Refrão: Kehlani]
Pensar em você me mantêm acordada à noite
Acordada à noite, acordada à noite
Pensar em você me mantêm acordada à noite
Acordada à noite, acordada à noite
Pensar em você me mantêm acordada à noite

[Saída: Kehlani]
Baby, pensar em você
Você continua aparecendo nos meus sonhos, hein? Hein?",0.4168618777766824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let Go,pop,Richard Marx,783.0,"I am at peace in darkness now
I've seen the light, it showed me how
All of my thoughts become my path
And I am limitless at last

Love is broken and opened my heart
And it is always just the start

All of my life
Holding on too tight
Now I must let go
I'll spend the rest of my life
So much left in it
Just let go

We are all running out of time
But the universe is mine
Under a blood moon or a sun
I know that I've only begun

And for every sad goodbye
There will be a sweet surprise
All of my life
Holding on too tight
Now I must let go
I'll spend the rest of my life
So much left in it
Just let go

Breathe in
Breathe out
There's only now
My dreams
My path
Limitless at last

And for every sad goodbye
There will be a sweet surprise

All of my life
Holding on too tight
Now I must let go
(Must let go)
I'll spend the rest of my life
So much left in it
Just let go
(Yeah, yeah)
Breathe in (breathe in)
Breathe out (breath out)
There's only now (now)
My dreams (my dream)
My path (my path)
Limitless at last (yeah, yeah)",0.6947333249263465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setting Sail,rap,Staysail,4.0,[Instrumental],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit of Death,misc,Two Steps From Hell,3.0,[Instrumental],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Look and What Do I See,pop,Joe Raposo,92.0,"[ANN]
MOST TIMES IT’S ONLY THE SIMPLE EVERYDAY THINGS
LIKE RIBBON BOWS OR PUPPIES AND BOYS OR GAMES TO PLAY ON SWINGS
BUT SOMETIMES, HANGING UPSIDE DOWN FROM MARCELLA’S HAND
BY MYSELF I SEE A VERY SPECIAL LAND

I LOOK AND WHAT DO I SEE?
LOOKING OUT WITH TWO BRAND-NEW SHOEBUTTON EYES, HERE’S WHAT APPEARS TO ME:
I SEE LOTS OF PRETTY, AND A LOT OF HAPPY
AND A BIT OF EVERYTHING THAT’S THERE INSIDE OF ME!

I LOOK AND WHAT DO I SEE?
FROM A HEAD ALL FILLED WITH THREAD AND LINEN IN A RAGGY JAMBOREE
I SEE LOTS OF SMILING AND A LOT OF SINGING
AND A LOT OF SOMETHING ELSE THAT NO ONE ELSE CAN SEE!

LOTS OF BUTTERFLIES IN THE AIR
LOTS OF HONEYCOMB EVERYWHERE
ALL THE PRETTY THINGS WE COULD SHARE
TOGETHER!
I LOOK AND WHAT DO I SEE?

IT’S A FACE AS SMILING AND AS HOPEFUL AS MY OWN FACE HAS TO BE
SING SOMETHING PRETTY, ALL LIT UP AND SHINING
SING SOMETHING EVERYONE COULD BE IF THEY WERE ME
WHEN I LOOK, THAT’S WHAT I SEE!

[GRANDPA]
You really see it that way?

[SUSIE PINCUSHION]
Just that lovely?

[GRANDPA]
WITH THE BUTTERFLIES IN THE AIR?

[SOCKO]
EVERY SINGLE DAY?

[MAXI-FIXIT]
WITH THE HONEYCOMB EVERYWHERE?

[TOPSY]
REALLY?

[ALL]
WITH A HAPPINESS WE COULD SHARE
TOGETHER?
[ANN]
TOGETHER!
I LOOK AND WHAT DO I SEE?
IT’S A FACE AS SMILING AND AS HOPEFUL AS I KNOW A FACE COULD BE!
SING SOMETHING PRETTY, ALL LIT UP AND SHINING;
SING SOMETHING EVERYONE COULD BE THE SAME AS ME!
WHEN I LOOK

[ALL]
WHEN I LOOK
WHEN I LOOK
WHEN I LOOK

[ANN]
THAT’S WHAT I SEE!",0.7244092999026179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бесполезные песни Useless Songs,rock,    (LTIP),230.0,"[Текст песни ""Бесполезные песни""]

[Куплет 1]
Нет, я не буду говорить
Как достала эта ночь
Ненавидеть, значит ждать
И топтать ногами дождь
Значит, верить глупым снам
Ждать на лестнице шаги
Нам остались пополам
Телефонные звонки

[Припев]
Я не верю больше словам
Я не верю словам
Я не верю этим словам
Мы не можем быть вместе
Я не верю больше словам
Это всё обман
Это всё обман
Бесполезные песни
[Куплет 2]
Нет, я не буду слушать стук
Ждать на лестнице шаги
Это наш обычный круг
Телефонные звонки
Это время на часах
Убивают подлость слов
Это наш обычный страх
И обычная любовь

[Припев]
Я не верю больше словам
Я не верю словам
Я не верю этим словам
Мы не можем быть вместе
Я не верю больше словам
Это всё обман
Бесполезные песни
Бесполезные песни

[Аутро]
Я не верю этим словам
Мы не можем быть вместе
Я не верю больше словам
Это всё обман
Это всё обман
Бесполезные песни",0.07249224418774247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una giornata non basta,rock,Derozer,4.0,"[Testo di ""Una giornata non basta""]

[Ritornello]
Una giornata non basta mai
Non basta più ci vuole qualcosa di più
Ci vuole la voglia, ci vuole un'idea
Che ci faccia fare a tutti un po' di più
Una giornata non basta
Una giornata non basta
Una giornata non basta
Una giornata non basta

[Bridge]
Contro la violenza sulle donne
Contro la discriminazione e il razzismo
Contro gli abusi sui minori
E i giorni dell'ipocrisia sono sempre di più

[Ritornello]
Una giornata non basta mai
Non basta più, ci vuole qualcosa di più
Ci vuole la voglia, ci vuole un'idea
Che ci faccia fare a tutti un po' di più
Una giornata non basta mai
Non basta più, ci vuole qualcosa di più
Ci vuole la voglia, ci vuole un'idea
Che ci faccia fare a tutti un po' di più
Una giornata non basta
Una giornata non basta
Una giornata non basta
Una giornata non basta",0.11943864915519953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow and Light,pop,Ai Phoenix,63.0,"You stand outside.You don't hide
You watch the light on the snow
It was not real sight
You were not even there
But this came from somewhere
And every time
We read these lines
We almost feel as good as you
It was not a real sight of snow and light",0.2930900678038597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
